Season,Player,Conference,Date,Team,Pos,Height,Weight,Age,Draft Yr,YOS
2024-2025,Jalen Brunson,East,"Dec 2, 2024",New York Knicks,PG,6-2,190,28,2018,6
2024-2025,Alperen Sengun,West,"Dec 2, 2024",Houston Rockets,C,6-11,243,22,2021,3
2024-2025,Giannis Antetokounmpo,East,"Nov 25, 2024",Milwaukee Bucks,F,6-11,243,30,2013,11
2024-2025,Harrison Barnes,West,"Nov 25, 2024",San Antonio Spurs,SF,6-8,225,32,2012,12
2024-2025,Franz Wagner,East,"Nov 18, 2024",Orlando Magic,SF,6-10,220,23,2021,3
2024-2025,De'Aaron Fox,West,"Nov 18, 2024",Sacramento Kings,PG,6-3,185,27,2017,7
2024-2025,Darius Garland,East,"Nov 11, 2024",Cleveland Cavaliers,G,6-1,192,25,2019,5
2024-2025,Nikola Jokic,West,"Nov 11, 2024",Denver Nuggets,C,6-11,284,30,2014,9
2024-2025,Donovan Mitchell,East,"Nov 4, 2024",Cleveland Cavaliers,SG,6-3,215,28,2017,7
2024-2025,Devin Booker,West,"Nov 4, 2024",Phoenix Suns,SG,6-6,206,28,2015,9
2024-2025,Jayson Tatum,East,"Oct 28, 2024",Boston Celtics,SF,6-8,210,26,2017,7
2024-2025,Anthony Davis,West,"Oct 28, 2024",Los Angeles Lakers,PF,6-10,253,31,2012,12
2023-2024,Kristaps Porzingis,East,"Apr 8, 2024",Boston Celtics,FC,7-2,240,28,2015,8
2023-2024,Kyrie Irving,West,"Apr 8, 2024",Dallas Mavericks,G,6-2,195,31,2011,12
2023-2024,Dejounte Murray,East,"Apr 1, 2024",Atlanta Hawks,SG,6-4,180,27,2016,7
2023-2024,Luka Doncic,West,"Apr 1, 2024",Dallas Mavericks,SF,6-6,230,25,2018,5
2023-2024,Derrick White,East,"Mar 25, 2024",Boston Celtics,G,6-4,190,29,2017,6
2023-2024,Anthony Davis,West,"Mar 25, 2024",Los Angeles Lakers,PF,6-10,253,30,2012,11
2023-2024,Jalen Brunson,East,"Mar 18, 2024",New York Knicks,PG,6-2,190,27,2018,5
2023-2024,Jalen Green,West,"Mar 18, 2024",Houston Rockets,SG,6-4,186,22,2021,2
2023-2024,DeMar DeRozan,East,"Mar 11, 2024",Chicago Bulls,GF,6-6,220,34,2009,14
2023-2024,Luka Doncic,West,"Mar 11, 2024",Dallas Mavericks,SF,6-6,230,25,2018,5
2023-2024,Jaylen Brown,East,"Mar 4, 2024",Boston Celtics,SF,6-6,223,27,2016,7
2023-2024,LeBron James,West,"Mar 4, 2024",Los Angeles Lakers,F,6-9,250,39,2003,20
2023-2024,Donovan Mitchell,East,"Feb 12, 2024",Cleveland Cavaliers,SG,6-3,215,27,2017,6
2023-2024,Luka Doncic,West,"Feb 12, 2024",Dallas Mavericks,SF,6-6,230,25,2018,5
2023-2024,Trae Young,East,"Feb 5, 2024",Atlanta Hawks,PG,6-1,164,25,2018,5
2023-2024,Kawhi Leonard,West,"Feb 5, 2024",Los Angeles Clippers,F,6-7,225,32,2011,12
2023-2024,Giannis Antetokounmpo,East,"Jan 29, 2024",Milwaukee Bucks,F,6-11,243,29,2013,10
2023-2024,Devin Booker,West,"Jan 29, 2024",Phoenix Suns,SG,6-6,206,27,2015,8
2023-2024,Joel Embiid,East,"Jan 22, 2024",Philadelphia Sixers,C,7-0,280,29,2014,9
2023-2024,Kevin Durant,West,"Jan 22, 2024",Phoenix Suns,SF,6-11,240,35,2007,16
2023-2024,Bam Adebayo,East,"Jan 15, 2024",Miami Heat,C,6-9,255,26,2017,6
2023-2024,Lauri Markkanen,West,"Jan 15, 2024",Utah Jazz,SF,7-0,240,26,2017,6
2023-2024,Jalen Brunson,East,"Jan 8, 2024",New York Knicks,PG,6-2,190,27,2018,5
2023-2024,Alperen Sengun,West,"Jan 8, 2024",Houston Rockets,C,6-11,243,21,2021,2
2023-2024,Tyrese Haliburton,East,"Jan 2, 2024",Indiana Pacers,PG,6-5,185,24,2020,3
2023-2024,Shai Gilgeous-Alexander,West,"Jan 2, 2024",Oklahoma City Thunder,PG,6-6,195,25,2018,5
2023-2024,Joel Embiid,East,"Dec 26, 2023",Philadelphia Sixers,C,7-0,280,29,2014,9
2023-2024,Ja Morant,West,"Dec 26, 2023",Memphis Grizzlies,G,6-2,174,24,2019,4
2023-2024,Giannis Antetokounmpo,East,"Dec 18, 2023",Milwaukee Bucks,F,6-11,243,29,2013,10
2023-2024,Luka Doncic,West,"Dec 18, 2023",Dallas Mavericks,SF,6-6,230,25,2018,5
2023-2024,Julius Randle,East,"Dec 4, 2023",New York Knicks,PF,6-9,250,29,2014,9
2023-2024,De'Aaron Fox,West,"Dec 4, 2023",Sacramento Kings,PG,6-3,185,26,2017,6
2023-2024,Paolo Banchero,East,"Nov 27, 2023",Orlando Magic,C,6-10,250,21,2022,1
2023-2024,Devin Booker,West,"Nov 27, 2023",Phoenix Suns,SG,6-6,206,27,2015,8
2023-2024,Jalen Brunson,East,"Nov 20, 2023",New York Knicks,PG,6-2,190,27,2018,5
2023-2024,De'Aaron Fox,West,"Nov 20, 2023",Sacramento Kings,PG,6-3,185,26,2017,6
2023-2024,Joel Embiid,East,"Nov 13, 2023",Philadelphia Sixers,C,7-0,280,29,2014,9
2023-2024,Anthony Edwards,West,"Nov 13, 2023",Minnesota Timberwolves,SF,6-4,225,22,2020,3
2023-2024,Jayson Tatum,East,"Nov 6, 2023",Boston Celtics,SF,6-8,210,25,2017,6
2023-2024,Stephen Curry,West,"Nov 6, 2023",Golden State Warriors,G,6-2,185,35,2009,14
2023-2024,Tyrese Maxey,East,"Oct 30, 2023",Philadelphia Sixers,PG,6-2,200,23,2020,3
2023-2024,Nikola Jokic,West,"Oct 30, 2023",Denver Nuggets,C,6-11,284,29,2014,8
2022-2023,Bobby Portis,East,"Apr 10, 2023",Milwaukee Bucks,PF,6-10,250,28,2015,7
2022-2023,Kawhi Leonard,West,"Apr 10, 2023",Los Angeles Clippers,F,6-7,225,31,2011,11
